sa3name,ave_growth,median_growth
Central Highlands (Tas.),0.01055959246347471,0.010077923306290426
Charles Sturt,0.015991932242540807,0.010478978396242455
Charters Towers - Ayr - Ingham,0.023480861207078485,0.01737426994658775
Chatswood - Lane Cove,0.015997075319100773,0.007582429581066696
Chermside,0.024251228482817133,0.015981700236739727
Christmas Island,0.03651394019000209,0.03570204196334115
Clarence Valley,0.035809505652040885,0.017513815866846194
Cleveland - Stradbroke,0.0183695272901101,0.015746025088849258
Cockburn,0.03588435912692933,0.0257901367309743
Cocos (Keeling) Islands,0.016513561160938828,0.012056553230194389
Coffs Harbour,0.021103112773569244,0.019836362255314155
Coolangatta,0.023368492009090636,0.015782325617895943
Cotter - Namadgi,0.017045999959637292,0.014894715018638705
Cottesloe - Claremont,0.03807277335294201,0.02346312031793163
Creswick - Daylesford - Ballan,0.019027076230467843,0.01437865403116434
Cronulla - Miranda - Caringbah,0.01658324532894273,0.006567417805442011
Daly - Tiwi - West Arnhem,0.023207585395255803,0.021403505942206857
Dandenong,0.00711865031567771,0.003461601701297168
Dapto - Port Kembla,0.010142369892314429,0.007349910197305576
Darebin - North,0.016194571469682506,0.009663798258386702
Darebin - South,0.02505329466326245,0.013047189963848238
Darling Downs - East,0.026404171629575313,0.016186295234653647
Darling Downs (West) - Maranoa,0.041725221209645724,0.019123998243903317
Darwin City,0.017136127306324855,0.004866566825968643
Darwin Suburbs,0.025116909683001287,0.021967782007971337
Devonport,0.01564771105160867,0.015316936513879886
Dubbo,0.02138862027032329,0.015219180310744651
Dural - Wisemans Ferry,0.01333961235417136,0.0044971658166494954
East Arnhem,0.009580139702777046,-5.064359616731018e-4
Eastern Suburbs - North,0.028900689277028935,0.013147837527947459
Eastern Suburbs - South,0.024665251487139717,0.014457400422122069
Esperance,0.06152543178322745,0.05945821660485673
Essendon,0.01937404226605066,0.0098195018221785
Eyre Peninsula and South West,0.017008629154810162,0.017123825717501484
Fairfield,0.014473233581979494,0.010933915249234039
Far North,0.026582533562276245,0.025411456323617854
Fleurieu - Kangaroo Island,0.01715816941298587,0.010086265599414723
Forest Lake - Oxley,0.017447676403530732,0.012343290849897492
Frankston,0.01242138497295553,0.009632899758901692
Fremantle,0.03365720591969534,0.022882977320295428
Fyshwick - Pialligo - Hume,0.010682911254833005,0.011262890787478774
Gascoyne,0.028894066652703554,0.020237809322762867
Gawler - Two Wells,0.01633680361432921,0.009419973859556618
Geelong,0.013538372122255948,0.007337856668846898
Gippsland - East,0.01781829036702076,0.015084405935729572
Gippsland - South West,0.01709745270651042,0.012930245637560622
Gladstone - Biloela,0.03298679431930518,0.024329227832199152
Glen Eira,0.021482719039480846,0.011372829717224864
